Edad,Sexo,Alcance,Impresiones,Frecuencia,Resultados,Costo por resultado,Importe gastado (USD),CPM (costo por mil impresiones),Clics en el enlace,CPC (costo por clic en el enlace),CTR (porcentaje de clics en el enlace),ROAS,Tasa de resultados,Clics (todos),CPC (todos),CTR (todos),Comentarios de la publicación,Reacciones a la publicación,Interacción con una publicación,Veces que se compartió la publicación,Compras,Valor de conversión de compras,Pagos iniciados,Costo por pago iniciado
25-34,male,2288,2937,1.283653846,5,7.937887743,39.68943872,13.51359847,57,0.69630594,1.940755873,3.89524279,0.170241743,133,0.29841683,4.52843037,6,16,1280,11,5,154.6,5,7.93788774
35-44,female,2715,2731,1.005893186,2,19.79149077,39.58298154,14.4939515,45,0.87962181,1.647748078,1.5117608,0.073233248,75,0.52777309,2.7462468,,8,1021,5,2,59.84,10,3.95829815
65+,female,1200,1318,1.098333333,2,19.34,38.68,29.34749621,19,2.03578947,1.441578149,1.80558428,0.151745068,33,1.17212121,2.50379363,,3,787,1,2,69.84,3,12.89333333
65+,female,1136,1284,1.13028169,2,19.2,38.4,29.90654206,24,1.6,1.869158879,2.678125,0.15576324,38,1.01052632,2.95950156,1,4,741,1,2,102.84,7,5.48571429
65+,female,1128,1212,1.074468085,2,19.095,38.19,31.50990099,34,1.12323529,2.805280528,1.82875098,0.165016502,49,0.77938776,4.04290429,,5,695,2,2,69.84,6,6.365
55-64,female,1104,1315,1.191123188,3,12.5,37.5,28.51711027,42,0.89285714,3.19391635,3.00693333,0.228136882,66,0.56818182,5.01901141,,6,672,2,3,112.76,9,4.16666667
18-24,female,3945,3945,1,3,12.32,36.96,9.36882129,29,1.27448276,0.735107731,2.56385281,0.076045627,64,0.5775,1.62230672,2,12,1234,4,3,94.76,12,3.08
45-54,female,2000,2087,1.0435,2,18.06,36.12,17.30713943,36,1.00333333,1.724964063,1.65669989,0.095831337,48,0.7525,2.29995208,,12,1037,6,2,59.84,8,4.515
45-54,female,1588,1603,1.009445844,1,35.48,35.48,22.13349969,32,1.10875,1.996257018,0.843292,0.062383032,56,0.63357143,3.49344978,1,15,730,6,1,29.92,2,17.74
18-24,female,3248,4614,1.420566502,1,35.13,35.13,7.61378414,41,0.85682927,0.888599913,0.9940222,0.021673169,93,0.37774194,2.01560468,3,31,1510,13,1,34.92,8,4.39125
18-24,female,3688,4774,1.294468547,3,11.60666667,34.82,7.29367407,50,0.6964,1.047339757,2.57782883,0.062840385,101,0.34475248,2.11562631,1,13,1437,8,3,89.76,12,2.90166667
35-44,male,1752,2260,1.289954338,1,33.1495312,33.1495312,14.66793416,44,0.75339844,1.946902655,0.90257687,0.044247788,94,0.35265459,4.15929204,5,16,1085,5,1,29.92,3,11.04984373
45-54,male,2240,2904,1.296428571,2,16.44487494,32.88974987,11.32567144,40,0.82224375,1.377410468,1.81941183,0.068870523,100,0.3288975,3.44352617,3,17,1544,8,2,59.84,4,8.22243747
55-64,female,1072,1170,1.09141791,2,16.285,32.57,27.83760684,33,0.9869697,2.820512821,1.83727356,0.170940171,51,0.63862745,4.35897436,2,9,621,5,2,59.84,12,2.71416667
45-54,male,1176,1523,1.295068027,1,31.63955256,31.63955256,20.77449282,38,0.8326198,2.495075509,0.94565181,0.065659882,71,0.4456275,4.66185161,3,7,785,4,1,29.92,2,15.81977628
55-64,female,1003,1003,1,1,31.41081403,31.41081403,31.31686344,23,1.36568757,2.293120638,1.43008073,0.099700897,37,0.84894092,3.6889332,,5,457,1,1,44.92,4,7.85270351
18-24,female,1856,2592,1.396551724,1,28.5395964,28.5395964,11.01064676,26,1.09767678,1.00308642,1.04836801,0.038580247,68,0.41969995,2.62345679,1,5,745,3,1,29.92,2,14.2697982
18-24,female,3232,3463,1.071472772,1,28.41073628,28.41073628,8.20408209,37,0.76785774,1.068437771,1.05312301,0.028876697,75,0.37880982,2.16575224,1,14,1114,6,1,29.92,3,9.47024543
35-44,male,2336,2735,1.170804795,7,3.871428571,27.1,9.90859232,39,0.69487179,1.425959781,7.91291513,0.255941499,71,0.38169014,2.59597806,1,28,1296,22,7,214.44,9,3.01111111
55-64,male,672,906,1.348214286,4,6.742573373,26.97029349,29.76853586,33,0.81728162,3.642384106,4.99364236,0.441501104,54,0.49944988,5.9602649,,5,464,2,4,134.68,7,3.85289907
18-24,female,2897,2897,1,1,26.69,26.69,9.21297894,28,0.95321429,0.966517087,1.12101911,0.034518467,58,0.46017241,2.00207111,,16,975,2,1,29.92,2,13.345
18-24,female,2747,2747,1,1,26.39,26.39,9.60684383,27,0.97740741,0.982890426,1.13376279,0.036403349,40,0.65975,1.45613396,1,7,944,6,1,29.92,4,6.5975
35-44,male,1792,2479,1.383370536,1,26.2099123,26.2099123,10.57277624,44,0.59567983,1.774909238,1.33232037,0.040338846,92,0.28489035,3.71117386,3,14,1052,9,1,34.92,3,8.73663743
55-64,female,820,895,1.091463415,3,8.573333333,25.72,28.73743017,22,1.16909091,2.458100559,3.48989114,0.335195531,37,0.69513514,4.13407821,1,6,458,2,3,89.76,7,3.67428571
18-24,female,2108,2205,1.04601518,1,24.81,24.81,11.25170068,15,1.654,0.680272109,1.40749698,0.045351474,28,0.88607143,1.26984127,3,2,767,2,1,34.92,4,6.2025
35-44,male,1600,1952,1.22,1,24.58026748,24.58026748,12.59235015,37,0.66433155,1.895491803,1.21723655,0.051229508,81,0.30346009,4.14959016,2,9,839,2,1,29.92,3,8.19342249
45-54,male,1440,1541,1.070138889,1,23.55992117,23.55992117,15.28872237,22,1.07090551,1.427644387,1.26995332,0.064892927,50,0.47119842,3.24464633,1,9,689,1,1,29.92,4,5.88998029
35-44,male,1232,1696,1.376623377,2,11.71,23.42,13.80896226,31,0.75548387,1.827830189,2.55508113,0.117924528,64,0.3659375,3.77358491,3,13,828,4,2,59.84,6,3.90333333
35-44,female,1664,1676,1.007211538,1,23.18,23.18,13.83054893,22,1.05363636,1.312649165,1.2907679,0.059665871,42,0.55190476,2.50596659,1,7,622,,1,29.92,5,4.636
45-54,male,1712,1998,1.167056075,1,22.14,22.14,11.08108108,24,0.9225,1.201201201,1.57723577,0.05005005,42,0.52714286,2.1021021,1,12,968,5,1,34.92,2,11.07
45-54,male,1008,1320,1.30952381,2,10.56,21.12,16,28,0.75428571,2.121212121,3.07007576,0.151515152,62,0.34064516,4.6969697,3,10,647,8,2,64.84,3,7.04
65+,male,646,646,1,1,20.77,20.77,32.15170279,20,1.0385,3.095975232,1.44053924,0.154798762,35,0.59342857,5.41795666,,5,361,3,1,29.92,2,10.385
25-34,male,1632,2131,1.305759804,3,6.63,19.89,9.33364618,48,0.414375,2.252463632,4.76420312,0.140778977,74,0.26878378,3.4725481,2,18,943,19,3,94.76,7,2.84142857
25-34,male,1440,2069,1.436805556,2,9.699967544,19.39993509,9.37647902,29,0.66896328,1.401643306,3.0845464,0.096665056,74,0.26216128,3.57660706,1,11,873,7,2,59.84,8,2.42499189
55-64,male,896,1217,1.358258929,2,9.379928665,18.75985733,15.41483758,27,0.69480953,2.218570255,3.18978972,0.164338537,49,0.38285423,4.02629417,1,12,681,4,2,59.84,3,6.25328578
