Edad,Sexo,Alcance,Impresiones,Frecuencia,Resultados,Costo por resultado,Importe gastado (USD),CPM (costo por mil impresiones),Clics en el enlace,CPC (costo por clic en el enlace),CTR (porcentaje de clics en el enlace),ROAS,Tasa de resultados,Clics (todos),CPC (todos),CTR (todos),Comentarios de la publicación,Reacciones a la publicación,Interacción con una publicación,Veces que se compartió la publicación,Compras,Valor de conversión de compras,Pagos iniciados,Costo por pago iniciado
35-44,female,52992,67453,1.272890248,52,16.21987665,843.4335857,12.50401888,856,0.98531961,1.26903177,2.01866517,0.077090715,1626,0.51871684,2.41056736,44,277,23012,128,52,1702.61,199,4.23835973
35-44,female,42048,53027,1.261106355,34,23.28933384,791.8373505,14.93272013,771,1.02702639,1.453976276,1.35923116,0.064118279,1363,0.58095183,2.57038867,43,226,19689,91,34,1076.29,144,5.49887049
35-44,female,37280,45775,1.227870172,42,17.92809524,752.98,16.44959039,746,1.00935657,1.629710541,1.8435151,0.09175314,1185,0.63542616,2.58874932,23,235,17377,111,42,1388.13,165,4.56351515
45-54,female,25440,30149,1.185102201,40,18.554,742.16,24.61640519,635,1.16875591,2.106205844,1.78101757,0.132674384,1079,0.68782206,3.57889151,12,239,13208,81,40,1321.8,156,4.7574359
45-54,female,23232,30606,1.317407025,36,19.76382618,711.4977426,23.24700198,663,1.07314893,2.166241913,1.98493954,0.117623995,1119,0.63583355,3.65614585,13,177,12484,50,36,1412.28,130,5.47305956
35-44,female,32416,43161,1.331472113,42,16.681372,700.6176242,16.23265504,700,1.00088232,1.621834527,1.94702496,0.097310072,1251,0.56004606,2.89844999,31,180,14781,57,42,1364.12,182,3.84954739
25-34,female,46208,59761,1.29330419,36,19.43437942,699.637659,11.70726158,800,0.87454707,1.338665685,1.60385878,0.060239956,1583,0.44196946,2.64888472,41,197,20065,88,36,1122.12,175,3.99792948
25-34,female,44288,52411,1.183413114,45,14.87377778,669.32,12.77060159,649,1.03130971,1.238289672,2.21034782,0.085859839,1118,0.59867621,2.13313999,33,222,18460,162,45,1479.43,137,4.88554745
45-54,female,24672,29519,1.196457523,33,19.47599544,642.7078495,21.77268368,630,1.02017119,2.134218639,1.63347935,0.111792405,1011,0.63571498,3.42491277,17,201,12625,61,33,1049.85,117,5.49322948
45-54,female,26176,34170,1.305394254,29,20.41432751,592.0154977,17.32559256,596,0.99331459,1.744220076,1.5573072,0.084869769,1062,0.55745339,3.10798946,24,214,13950,77,29,921.95,106,5.58505187
25-34,female,41440,55992,1.351158301,27,21.68057586,585.3755482,10.45462831,641,0.91322238,1.144806401,1.47742761,0.048221174,1399,0.41842427,2.49857122,51,185,17405,87,27,864.85,120,4.87812957
25-34,female,33792,42708,1.263849432,39,13.36142745,521.0956706,12.20135971,530,0.98319938,1.240985295,2.36785694,0.091317786,1049,0.49675469,2.45621429,21,121,12844,53,39,1233.88,124,4.20238444
25-34,female,31680,41024,1.294949495,19,26.31526316,499.99,12.18774376,468,1.0683547,1.140795632,1.22698454,0.046314353,1011,0.49454995,2.46441108,35,142,13860,99,19,613.48,80,6.249875
35-44,female,24848,32064,1.290405666,21,22.25285714,467.31,14.57428892,410,1.13978049,1.278692615,1.40874366,0.065494012,768,0.60847656,2.39520958,23,142,11413,61,21,658.32,81,5.76925926
55-64,female,10432,12104,1.160276074,27,15.96148148,430.96,35.60475876,393,1.09659033,3.246860542,2.06014479,0.223066755,615,0.70074797,5.08096497,9,95,6132,33,27,887.84,79,5.45518987
55-64,female,11552,12738,1.102666205,19,22.1981363,421.7645897,33.11073871,391,1.07868182,3.06955566,1.49488605,0.149159994,632,0.66734903,4.96153242,14,85,6062,27,19,630.49,81,5.20697024
35-44,female,19888,25171,1.26563757,18,23.25166667,418.53,16.62746812,390,1.07315385,1.54940209,1.43731632,0.071510866,640,0.65395313,2.54260856,15,140,8534,46,18,601.56,74,5.65581081
55-64,female,9920,11795,1.189012097,20,18.98243648,379.6487297,32.18725983,366,1.03729161,3.10300975,1.72759698,0.169563374,596,0.63699451,5.05298855,13,96,5669,30,20,655.88,68,5.58306955
25-34,female,26592,33454,1.258047533,17,21.90470588,372.38,11.1311054,356,1.04601124,1.064147785,1.37934368,0.050816046,855,0.43553216,2.55574819,23,128,11115,51,17,513.64,79,4.71367089
45-54,female,10992,13696,1.245997089,24,14.73958333,353.75,25.82870911,319,1.10893417,2.329147196,2.21365371,0.175233645,491,0.72046843,3.58498832,12,108,5623,33,24,783.08,67,5.27985075
25-34,female,20400,26637,1.305735294,10,34.023,340.23,12.77283478,337,1.00958457,1.265157488,1.01166858,0.037541765,613,0.55502447,2.30131021,13,90,7991,51,10,344.2,63,5.40047619
35-44,female,17712,23883,1.348407859,23,14.60565217,335.93,14.06565339,356,0.9436236,1.490600008,2.10805823,0.09630281,708,0.4744774,2.9644517,15,125,8330,47,23,708.16,82,4.09670732
35-44,female,15536,16651,1.071768795,11,25.02181818,275.24,16.52993814,205,1.34263415,1.231157288,1.39558204,0.066062098,306,0.89947712,1.83772746,6,43,5981,13,11,384.12,44,6.25545455
35-44,female,14552,15525,1.066863661,14,19.21357143,268.99,17.32624799,211,1.27483412,1.359098229,1.81746533,0.090177134,341,0.78882698,2.19645733,6,52,5565,21,14,488.88,32,8.4059375
35-44,female,14480,15073,1.040953039,13,20.4,265.2,17.59437405,205,1.29365854,1.360047768,1.84751131,0.086246932,334,0.79401198,2.2158827,6,47,5574,16,13,489.96,45,5.89333333
45-54,female,10544,12846,1.218323217,16,16.070625,257.13,20.0163475,214,1.20154206,1.665888214,2.04643566,0.12455239,364,0.7064011,2.83356687,5,70,5222,29,16,526.2,57,4.51105263
35-44,female,14104,15396,1.091605218,9,28.37888889,255.41,16.58937386,192,1.33026042,1.247077163,1.30096707,0.058456742,274,0.93215328,1.77968303,2,36,5498,16,9,332.28,30,8.51366667
35-44,female,13840,14878,1.075,9,28.35222222,255.17,17.15082672,172,1.48354651,1.156069364,1.3021907,0.060492002,254,1.0046063,1.70721871,2,58,5510,18,9,332.28,31,8.23129032
55-64,female,8448,10503,1.243252841,14,17.98272038,251.7580854,23.97011191,279,0.90235873,2.65638389,1.76312113,0.133295249,465,0.54141524,4.42730648,7,81,4971,22,14,443.88,46,5.47300186
35-44,female,14816,18312,1.235961123,15,15.82133333,237.32,12.95980778,239,0.99297071,1.30515509,2.1543907,0.081913499,424,0.55971698,2.31542158,8,128,7255,65,15,511.28,47,5.0493617
25-34,female,15440,16866,1.092357513,12,19.36083333,232.33,13.7750504,152,1.52848684,0.901221392,1.94568071,0.071149057,248,0.93681452,1.47041385,3,27,5529,22,12,452.04,33,7.04030303
45-54,female,8960,11024,1.230357143,14,16.00785714,224.11,20.32928157,214,1.04724299,1.941219158,2.00294498,0.126995646,411,0.54527981,3.72822932,7,83,4293,27,14,448.88,52,4.30980769
35-44,female,12104,12945,1.069481163,11,20.35727273,223.93,17.29857088,180,1.24405556,1.390498262,1.71535748,0.084974894,290,0.77217241,2.2402472,3,39,4582,15,11,384.12,29,7.72172414
25-34,female,14704,15403,1.047538085,2,109.035,218.07,14.15763163,167,1.30580838,1.084204376,0.32026414,0.012984484,252,0.86535714,1.63604493,4,39,5355,24,2,69.84,18,12.115
25-34,female,14368,15766,1.097299555,8,27.17875,217.43,13.79106939,114,1.9072807,0.723074971,1.2848273,0.050742103,199,1.09261307,1.26220982,2,38,5228,27,8,279.36,32,6.7946875
65+,female,4224,5095,1.206202652,19,11.23210526,213.41,41.8861629,220,0.97004545,4.317958783,3.02928635,0.372914622,337,0.63326409,6.61432777,1,40,2677,19,19,646.48,48,4.44604167
25-34,female,13776,14873,1.079631243,10,21.323,213.23,14.33671754,172,1.2397093,1.156458011,1.79243071,0.067235931,267,0.79861423,1.79519935,5,37,4984,19,10,382.2,35,6.09228571
45-54,female,9104,9608,1.055360281,10,20.878,208.78,21.72980849,159,1.31308176,1.654870941,1.64388351,0.104079933,258,0.80922481,2.68526228,3,35,4249,9,10,343.21,31,6.73483871
45-54,female,8000,8582,1.07275,12,17.04583333,204.55,23.83477045,171,1.19619883,1.992542531,2.04859448,0.139827546,262,0.78072519,3.05290142,2,45,4043,11,12,419.04,28,7.30535714
25-34,female,13880,14997,1.080475504,18,11.29166667,203.25,13.55271054,162,1.25462963,1.080216043,3.50558426,0.120024005,260,0.78173077,1.73368007,5,31,4968,31,18,712.51,40,5.08125
45-54,female,8096,8553,1.056447628,6,31.7,190.2,22.23781129,136,1.39852941,1.59008535,1.10157729,0.070150824,215,0.88465116,2.51373787,3,30,3750,6,6,209.52,18,10.56666667
25-34,female,14544,17440,1.199119912,10,18.969,189.69,10.87672018,180,1.05383333,1.032110092,1.70910433,0.05733945,318,0.59650943,1.8233945,13,89,6289,52,10,324.2,39,4.86384615
45-54,female,7392,8494,1.149080087,11,17.19454545,189.14,22.26748293,139,1.36071942,1.636449258,2.2212118,0.129503179,215,0.87972093,2.53119849,4,24,3851,10,11,420.12,25,7.5656
45-54,female,8064,8466,1.04985119,9,20.68777778,186.19,21.99267659,151,1.23304636,1.783605008,1.78462861,0.106307583,236,0.78894068,2.78762107,2,45,3797,16,9,332.28,26,7.16115385
18-24,female,18240,23459,1.286129386,12,15.4499483,185.3993797,7.90312373,260,0.71307454,1.108316638,1.99056761,0.051153076,586,0.31638119,2.49797519,7,45,6844,20,12,369.05,49,3.78366081
45-54,female,7472,7784,1.041755889,9,20.37555556,183.38,23.55858171,131,1.39984733,1.682939363,1.7138183,0.115621788,208,0.88163462,2.672148,1,27,3530,9,9,314.28,17,10.78705882
55-64,female,4032,4930,1.222718254,10,18.336,183.36,37.19269777,141,1.30042553,2.860040568,2.17686518,0.202839757,244,0.75147541,4.94929006,9,49,2201,16,10,399.15,33,5.55636364
35-44,female,10792,11430,1.059117865,7,25.41450109,177.9015076,15.56443636,170,1.04647946,1.487314086,1.34591327,0.061242345,229,0.77686248,2.00349956,,49,5412,41,7,239.44,29,6.13453475
25-34,female,11432,12422,1.08659902,8,22.02,176.16,14.18129126,108,1.63111111,0.869425213,1.56034287,0.064401868,175,1.00662857,1.40879085,4,19,3976,13,8,274.87,28,6.29142857
25-34,female,13656,15770,1.154803749,15,11.654,174.81,11.08497146,158,1.10639241,1.001902346,2.71037126,0.095117311,351,0.49803419,2.22574509,17,55,5378,32,15,473.8,32,5.4628125
35-44,female,10288,11976,1.16407465,6,28.09166667,168.55,14.0739813,171,0.98567251,1.427855711,1.15407891,0.0501002,297,0.56750842,2.47995992,9,68,4517,32,6,194.52,27,6.24259259
65+,female,3968,5029,1.267389113,13,12.7514958,165.7694453,32.96270538,166,0.99861112,3.300855041,2.40068367,0.258500696,275,0.60279798,5.46828395,5,32,2442,10,13,397.96,43,3.85510338
65+,female,3808,4642,1.219012605,10,15.73817126,157.3817126,33.90385882,144,1.09292856,3.102111159,2.09179322,0.215424386,255,0.61718319,5.49332184,3,33,2245,13,10,329.21,30,5.24605709
18-24,female,14688,18756,1.276960784,5,31.342,156.71,8.355193,188,0.83356383,1.002345916,0.92923234,0.026658136,459,0.34141612,2.44721689,11,59,5556,20,5,145.62,34,4.60911765
25-34,female,11128,12698,1.14108555,9,17.11140538,154.0026485,12.12810273,145,1.06208723,1.141912112,1.84594228,0.070877304,251,0.61355637,1.97668924,4,44,5127,20,9,284.28,32,4.81258276
18-24,female,11520,14931,1.29609375,5,30.462,152.31,10.20092425,153,0.9954902,1.024713683,1.11351848,0.033487375,306,0.4977451,2.04942737,6,72,4911,37,5,169.6,29,5.25206897
45-54,female,6912,8330,1.205150463,6,25.19833333,151.19,18.15006002,155,0.97541935,1.860744298,1.36913817,0.072028812,221,0.68411765,2.65306122,6,74,3783,22,6,207,28,5.39964286
18-24,female,12896,17133,1.328551489,4,35.1075,140.43,8.19646297,162,0.86685185,0.945543688,0.85223955,0.023346758,450,0.31206667,2.62651024,5,58,5496,21,4,119.68,25,5.6172
35-44,female,7867,7867,1,3,45.65,136.95,17.40816067,115,1.19086957,1.461802466,0.76495071,0.038133977,161,0.85062112,2.04652345,1,21,3342,8,3,104.76,12,11.4125
35-44,female,7912,8403,1.062057634,7,18.94714286,132.63,15.7836487,152,0.87256579,1.808877782,1.86172058,0.083303582,230,0.57665217,2.7371177,5,40,3144,18,7,246.92,20,6.6315
25-34,female,9944,10128,1.01850362,5,25.256,126.28,12.46840442,110,1.148,1.086097946,1.18466899,0.049368088,216,0.58462963,2.13270142,9,42,3528,17,5,149.6,25,5.0512
35-44,female,6824,8496,1.245017585,5,25.074,125.37,14.75635593,88,1.42465909,1.035781544,1.27303183,0.058851224,142,0.88288732,1.67137476,7,28,2984,18,5,159.6,12,10.4475
45-54,female,5624,5968,1.06116643,10,12.40440786,124.0440786,20.78486571,137,0.90543123,2.295576408,2.65389532,0.167560322,176,0.7047959,2.94906166,2,27,3551,7,10,329.2,38,3.26431786
25-34,female,7824,9993,1.277223926,10,12.28,122.8,12.28860202,135,0.90962963,1.350945662,2.68078176,0.100070049,217,0.56589862,2.17152006,8,31,3570,31,10,329.2,26,4.72307692
35-44,female,6232,6435,1.032573813,8,14.60875,116.87,18.16161616,79,1.47936709,1.227661228,2.39034825,0.124320124,116,1.0075,1.8026418,,23,2588,11,8,279.36,21,5.5652381
35-44,female,5048,6414,1.270602219,8,14.59729357,116.7783485,18.20678961,112,1.04266383,1.746180231,2.04969502,0.124727159,185,0.63123432,2.88431556,7,19,2387,11,8,239.36,23,5.0773195
55-64,female,3072,3699,1.204101563,7,16.57571429,116.03,31.36793728,100,1.1603,2.70343336,1.89123503,0.189240335,159,0.72974843,4.29845904,1,26,1757,10,7,219.44,15,7.73533333
25-34,female,8816,9108,1.033121597,7,16.564715,115.953005,12.73089646,127,0.91301579,1.394378568,1.89249084,0.076855512,216,0.53681947,2.3715415,5,27,3115,9,7,219.44,24,4.83137521
35-44,female,7416,7904,1.065803668,6,19.15833333,114.95,14.54326923,115,0.99956522,1.454959514,1.69221401,0.075910931,165,0.69666667,2.08755061,3,44,3173,19,6,194.52,17,6.76176471
25-34,female,7104,7729,1.087978604,4,28.4025,113.61,14.69918489,76,1.49486842,0.983309613,1.22946924,0.051753138,125,0.90888,1.61728555,2,19,2749,15,4,139.68,23,4.93956522
